timeStep,HEAD,CHEST,BACK,CROTCH,L.SHLD,R.SHLD,L.ARM,R.ARM,L.HAND,R.HAND,L.THIGH,R.THIGH,L.LEG,R.LEG,L.FOOT,R.FOOT,Teq; 
59,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
119,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
179,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
239,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
299,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
359,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
419,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
479,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
539,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
599,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
659,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
719,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
779,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
839,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
899,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
959,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1019,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1079,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1139,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1199,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1259,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1319,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1379,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1439,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1499,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1559,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1619,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1679,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1739,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1799,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1859,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1919,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
1979,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2039,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2099,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2159,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2219,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2279,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2339,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2399,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2459,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2519,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2579,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2639,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2699,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2759,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2819,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2879,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2939,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
2999,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3059,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3119,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3179,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3239,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3299,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3359,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3419,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3479,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3539,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3599,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.0664
3659,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
3719,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
3779,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
3839,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
3899,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
3959,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4019,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4079,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4139,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4199,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4259,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4319,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4379,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4439,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4499,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4559,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4619,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4679,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4739,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4799,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4859,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4919,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
4979,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5039,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5099,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5159,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5219,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5279,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5339,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5399,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5459,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5519,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5579,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5639,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5699,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5759,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5819,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5879,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5939,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
5999,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6059,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6119,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6179,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6239,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6299,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6359,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6419,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6479,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6539,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6599,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6659,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6719,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6779,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6839,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6899,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
6959,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
7019,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
7079,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
7139,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
7199,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.155
