timeStep,hc,h_sensible,ht,he; 
59,3.54892,8.13258,58.5572,8.13258
119,3.54892,8.13258,58.5572,8.13258
179,3.54892,8.13258,58.5572,8.13258
239,3.54892,8.13258,58.5572,8.13258
299,3.54892,8.13258,58.5572,8.13258
359,3.54892,8.13258,58.5572,8.13258
419,3.54892,8.13258,58.5572,8.13258
479,3.54892,8.13258,58.5572,8.13258
539,3.54892,8.13258,58.5572,8.13258
599,3.54892,8.13258,58.5572,8.13258
659,3.54892,8.13258,58.5572,8.13258
719,3.54892,8.13258,58.5572,8.13258
779,3.54892,8.13258,58.5572,8.13258
839,3.54892,8.13258,58.5572,8.13258
899,3.54892,8.13258,58.5572,8.13258
959,3.54892,8.13258,58.5572,8.13258
1019,3.54892,8.13258,58.5572,8.13258
1079,3.54892,8.13258,58.5572,8.13258
1139,3.54892,8.13258,58.5572,8.13258
1199,3.54892,8.13258,58.5572,8.13258
1259,3.54892,8.13258,58.5572,8.13258
1319,3.54892,8.13258,58.5572,8.13258
1379,3.54892,8.13258,58.5572,8.13258
1439,3.54892,8.13258,58.5572,8.13258
1499,3.54892,8.13258,58.5572,8.13258
1559,3.54892,8.13258,58.5572,8.13258
1619,3.54892,8.13258,58.5572,8.13258
1679,3.54892,8.13258,58.5572,8.13258
1739,3.54892,8.13258,58.5572,8.13258
1799,3.54892,8.13258,58.5572,8.13258
1859,3.54892,8.13258,58.5572,8.13258
1919,3.54892,8.13258,58.5572,8.13258
1979,3.54892,8.13258,58.5572,8.13258
2039,3.54892,8.13258,58.5572,8.13258
2099,3.54892,8.13258,58.5572,8.13258
2159,3.54892,8.13258,58.5572,8.13258
2219,3.54892,8.13258,58.5572,8.13258
2279,3.54892,8.13258,58.5572,8.13258
2339,3.54892,8.13258,58.5572,8.13258
2399,3.54892,8.13258,58.5572,8.13258
2459,3.54892,8.13258,58.5572,8.13258
2519,3.54892,8.13258,58.5572,8.13258
2579,3.54892,8.13258,58.5572,8.13258
2639,3.54892,8.13258,58.5572,8.13258
2699,3.54892,8.13258,58.5572,8.13258
2759,3.54892,8.13258,58.5572,8.13258
2819,3.54892,8.13258,58.5572,8.13258
2879,3.54892,8.13258,58.5572,8.13258
2939,3.54892,8.13258,58.5572,8.13258
2999,3.54892,8.13258,58.5572,8.13258
3059,3.54892,8.13258,58.5572,8.13258
3119,3.54892,8.13258,58.5572,8.13258
3179,3.54892,8.13258,58.5572,8.13258
3239,3.54892,8.13258,58.5572,8.13258
3299,3.54892,8.13258,58.5572,8.13258
3359,3.54892,8.13258,58.5572,8.13258
3419,3.54892,8.13258,58.5572,8.13258
3479,3.54892,8.13258,58.5572,8.13258
3539,3.54892,8.13258,58.5572,8.13258
3599,3.54892,8.13258,58.5572,8.13258
